Comment,Description,Designator,Footprint,LibRef,Quantity

"Capacitiv Button","","","","Capacitiv Button","2"
"DC/DC_Converter LM2735XMF","","","","DC/DC_Converter LM2735XMF","1"
"ivl-2 7/5","","","","ivl-2 7/5","1"
"LDO3.3 LM1086CT","LDO3.3 LM1086CT","","","LDO3.3 LM1086CT","1"
"LED RGB","","","","LED RGB","2"
"LOD2.2 MCP1700","","","","LOD2.2 MCP1700","1"
"PIC32MX130","","","","PIC32MX130","1"
"Tube Driver MAX6920","","","","Tube Driver MAX6920","1"
"22uF Cer","Capacitor","C1","RAD-0.3","Cap","1"
"4.7uF Cer","Capacitor","C2","RAD-0.3","Cap","1"
"470pF Cer","Capacitor","C3","RAD-0.3","Cap","1"
"1uF Cer","Capacitor","C?","RAD-0.3","Cap","2"
"10uF Cer","Capacitor","C?","RAD-0.3","Cap","1"
"10uF Ta","Capacitor","C?","RAD-0.3","Cap","2"
"15pF","Capacitor","C?","RAD-0.3","Cap","2"
"100nF Cer","Capacitor","C?","RAD-0.3","Cap","5"
"Diode Shottky","Default Diode","D?","SMC","Diode","1"
"22uH","Inductor","L1","0402-A","Inductor","1"
"Header 5","Header, 5-Pin","P?","HDR1X5","Header 5","1"
"MOSFET-N","N-Channel MOSFET","Q?","E3","MOSFET-N","4"
"10.2K","Resistor","R1","AXIAL-0.3","Res1","1"
"86.6K","Resistor","R2","AXIAL-0.3","Res1","1"
"100K","Resistor","R3","AXIAL-0.3","Res1","1"
"","Resistor","R?","AXIAL-0.3","Res1","6"
"10K","Resistor","R?","AXIAL-0.3","Res1","1"
"470","Resistor","R?","AXIAL-0.3","Res1","1"
"32.768KHz","Crystal Oscillator","Y?","R38","XTAL","1"
